,0
0,b' UWMadison NatureComms such device stimulating vagus nerve can be used for treating neurodegenerative diseases':
1,admiration: 0.41170164942741394
2,neutral: 0.386896014213562
3,curiosity: 0.3717105984687805
4,
5,b'I probably need the large bilateral electrocution strength version':
6,neutral: 0.4095066487789154
7,joy: 0.38619285821914673
8,love: 0.3710627555847168
9,
10,b'But Adds robot ':
11,neutral: 0.7860220670700073
12,anger: 0.5315399765968323
13,annoyance: 0.3652077913284302
14,
15,b'Do you put it in your belly button ':
16,curiosity: 0.6185520887374878
17,neutral: 0.5324110388755798
18,confusion: 0.3736604154109955
19,
20,b'Sounds like a pretty extreme way of escaping your responsibility to practice a little self discipline fo':
21,admiration: 0.4539630115032196
22,approval: 0.3747321367263794
23,annoyance: 0.3631616532802582
24,
25,b'What if you just reprogram your brain to think hunger progress ':
26,curiosity: 0.6025630235671997
27,neutral: 0.4801577925682068
28,anger: 0.40523266792297363
29,
30,b'Kind of overkill isnt it There are natural appetite suppressants available that are harmless and they':
31,neutral: 0.5571075677871704
32,disapproval: 0.36870068311691284
33,annoyance: 0.3662188649177551
34,
35,b' CHSommers That is possible to do but its a lot of work ':
36,curiosity: 0.4380180537700653
37,neutral: 0.40262144804000854
38,approval: 0.3793194591999054
39,
40,b'This lady is unironically going to get a machine implanted in her body instead of just eating meat like':
41,neutral: 0.5111047029495239
42,approval: 0.362432062625885
43,disgust: 0.3570171594619751
44,
45,b'Why do these genious always try to avoid the roots of the problems with their reverse engineering gimmic':
46,curiosity: 0.632813036441803
47,confusion: 0.39301082491874695
48,annoyance: 0.38116535544395447
49,
50,b'You mean probiotics can help millions of patients suffering from inflammation of the gut which is cau':
51,neutral: 0.4928407073020935
52,annoyance: 0.363321989774704
53,joy: 0.3617844581604004
54,
55,b'Unfortunately commercial probiotics are very incomplete amp do not sufficiently approximate the enti':
56,disapproval: 0.38873472809791565
57,curiosity: 0.3788570165634155
58,annoyance: 0.36372390389442444
59,
